step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.21200000000000002,0.44,0.34,0.24,0.0,0.04
15000,0,0.27999999999999997,0.62,0.06,0.7,0.0,0.02
10000,0,0.192,0.78,0.04,0.0,0.0,0.14
40000,0,0.24400000000000005,0.82,0.18,0.14,0.0,0.08
30000,0,0.304,0.8,0.34,0.0,0.0,0.38
20000,0,0.23199999999999998,0.0,0.18,0.24,0.0,0.74
50000,0,0.23199999999999998,0.38,0.08,0.54,0.0,0.16
35000,0,0.136,0.14,0.4,0.02,0.0,0.12
45000,0,0.20400000000000001,0.08,0.18,0.5,0.0,0.26
25000,0,0.21200000000000002,0.32,0.26,0.42,0.0,0.06
25000,10,0.44000000000000006,0.76,0.5,0.46,0.02,0.46
50000,10,0.41600000000000004,0.4,0.4,0.74,0.06,0.48
20000,10,0.316,0.14,0.44,0.26,0.0,0.74
30000,10,0.368,0.68,0.36,0.02,0.0,0.78
15000,10,0.42800000000000005,0.76,0.28,0.68,0.1,0.32
45000,10,0.324,0.14,0.6,0.56,0.0,0.32
35000,10,0.264,0.38,0.42,0.16,0.0,0.36
5000,10,0.268,0.48,0.34,0.44,0.02,0.06
40000,10,0.26,0.38,0.32,0.28,0.0,0.32
10000,10,0.27199999999999996,0.84,0.14,0.02,0.0,0.36
20000,20,0.46399999999999997,0.38,0.66,0.36,0.02,0.9
15000,20,0.4800000000000001,0.36,0.56,0.46,0.28,0.74
25000,20,0.4640000000000001,0.64,0.54,0.32,0.1,0.72
50000,20,0.5559999999999999,0.44,0.56,0.54,0.4,0.84
10000,20,0.41999999999999993,0.84,0.32,0.18,0.04,0.72
40000,20,0.40800000000000003,0.72,0.44,0.26,0.02,0.6
45000,20,0.42400000000000004,0.24,0.66,0.62,0.06,0.54
5000,20,0.372,0.42,0.46,0.34,0.2,0.44
35000,20,0.43599999999999994,0.74,0.52,0.14,0.04,0.74
30000,20,0.364,0.7,0.34,0.0,0.0,0.78
35000,50,0.6399999999999999,0.94,0.82,0.36,0.16,0.92
15000,50,0.64,0.68,0.78,0.3,0.52,0.92
25000,50,0.652,0.86,0.84,0.38,0.22,0.96
20000,50,0.584,0.82,0.68,0.42,0.1,0.9
40000,50,0.616,0.88,0.6,0.4,0.24,0.96
10000,50,0.5799999999999998,0.78,0.64,0.4,0.3,0.78
50000,50,0.6439999999999999,0.78,0.76,0.48,0.36,0.84
45000,50,0.6639999999999999,0.86,0.7,0.56,0.3,0.9
30000,50,0.528,0.8,0.64,0.26,0.02,0.92
5000,50,0.6439999999999999,0.7,0.66,0.44,0.46,0.96
35000,100,0.628,0.86,0.78,0.46,0.14,0.9
50000,100,0.712,0.82,0.74,0.6,0.44,0.96
10000,100,0.6759999999999999,0.9,0.82,0.5,0.3,0.86
45000,100,0.652,0.78,0.74,0.58,0.18,0.98
5000,100,0.6759999999999999,0.82,0.82,0.48,0.42,0.84
25000,100,0.704,0.96,0.72,0.48,0.4,0.96
20000,100,0.612,0.84,0.7,0.44,0.12,0.96
30000,100,0.632,0.86,0.74,0.46,0.18,0.92
40000,100,0.7000000000000001,0.86,0.76,0.66,0.28,0.94
15000,100,0.6679999999999999,0.9,0.7,0.46,0.34,0.94
45000,200,0.724,0.92,0.84,0.74,0.16,0.96
15000,200,0.716,0.86,0.74,0.62,0.44,0.92
30000,200,0.668,0.94,0.76,0.54,0.18,0.92
5000,200,0.6719999999999999,0.78,0.74,0.62,0.24,0.98
35000,200,0.6759999999999999,0.86,0.86,0.64,0.1,0.92
50000,200,0.68,0.88,0.7,0.64,0.26,0.92
20000,200,0.6719999999999999,0.9,0.84,0.56,0.14,0.92
25000,200,0.736,0.92,0.82,0.7,0.26,0.98
40000,200,0.664,0.9,0.8,0.56,0.14,0.92
10000,200,0.6839999999999999,0.9,0.66,0.68,0.3,0.88
