step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
350000,0,0.336,0.0,0.36,0.54,0.42,0.36
300000,0,0.33999999999999997,0.06,0.16,0.7,0.26,0.52
450000,0,0.256,0.0,0.02,0.44,0.46,0.36
500000,0,0.27599999999999997,0.1,0.06,0.44,0.66,0.12
300000,10,0.7040000000000001,0.68,0.54,0.8,0.58,0.92
500000,10,0.6039999999999999,0.6,0.3,0.84,0.5,0.78
450000,10,0.6039999999999999,0.6,0.42,0.72,0.52,0.76
350000,10,0.664,0.56,0.62,0.74,0.68,0.72
400000,0,0.32,0.08,0.36,0.62,0.34,0.2
400000,10,0.592,0.62,0.46,0.78,0.38,0.72
350000,20,0.728,0.72,0.7,0.76,0.6,0.86
300000,20,0.708,0.66,0.64,0.82,0.62,0.8
450000,20,0.74,0.74,0.66,0.88,0.46,0.96
500000,20,0.6599999999999999,0.9,0.32,0.74,0.6,0.74
400000,20,0.708,0.78,0.74,0.78,0.46,0.78
300000,50,0.768,0.72,0.74,0.9,0.64,0.84
500000,50,0.6799999999999999,0.82,0.52,0.84,0.5,0.72
400000,50,0.74,0.84,0.7,0.88,0.42,0.86
350000,50,0.728,0.76,0.66,0.88,0.52,0.82
450000,50,0.716,0.8,0.58,0.82,0.44,0.94
300000,100,0.756,0.76,0.82,0.92,0.56,0.72
500000,100,0.72,0.8,0.58,0.9,0.54,0.78
350000,100,0.66,0.7,0.56,0.86,0.54,0.64
400000,100,0.692,0.76,0.72,0.78,0.44,0.76
450000,100,0.672,0.64,0.72,0.8,0.54,0.66
300000,200,0.76,0.78,0.76,0.84,0.54,0.88
350000,200,0.752,0.84,0.68,0.84,0.52,0.88
500000,200,0.712,0.86,0.6,0.88,0.5,0.72
450000,200,0.6599999999999999,0.82,0.52,0.86,0.44,0.66
400000,200,0.6799999999999999,0.84,0.64,0.88,0.3,0.74
