step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
20000,20,0.22399999999999998,0.18,0.26,0.24,0.02,0.42
20000,0,0.044000000000000004,0.02,0.0,0.1,0.0,0.1
15000,10,0.096,0.0,0.14,0.08,0.0,0.26
30000,10,0.084,0.04,0.1,0.16,0.0,0.12
20000,10,0.12799999999999997,0.18,0.12,0.16,0.0,0.18
25000,10,0.176,0.24,0.14,0.28,0.0,0.22
10000,10,0.132,0.08,0.08,0.26,0.0,0.24
25000,20,0.21600000000000003,0.28,0.26,0.28,0.0,0.26
15000,20,0.16,0.12,0.22,0.2,0.0,0.26
10000,20,0.192,0.12,0.1,0.42,0.0,0.32
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
5000,20,0.128,0.14,0.06,0.24,0.0,0.2
30000,0,0.02,0.0,0.02,0.06,0.0,0.02
10000,0,0.036,0.0,0.0,0.1,0.0,0.08
15000,0,0.048,0.0,0.02,0.12,0.0,0.1
30000,20,0.1,0.1,0.1,0.14,0.0,0.16
10000,50,0.17200000000000001,0.16,0.12,0.26,0.0,0.32
15000,50,0.21600000000000003,0.18,0.24,0.32,0.0,0.34
20000,50,0.292,0.24,0.42,0.36,0.0,0.44
30000,50,0.16,0.1,0.08,0.24,0.02,0.36
5000,50,0.164,0.2,0.16,0.26,0.0,0.2
5000,100,0.17600000000000002,0.18,0.1,0.28,0.04,0.28
10000,100,0.21600000000000003,0.12,0.16,0.36,0.0,0.44
15000,100,0.24,0.28,0.26,0.18,0.0,0.48
20000,100,0.316,0.44,0.44,0.26,0.0,0.44
25000,100,0.296,0.3,0.44,0.32,0.0,0.42
30000,100,0.21999999999999997,0.12,0.18,0.38,0.0,0.42
10000,200,0.26,0.22,0.24,0.38,0.0,0.46
25000,200,0.332,0.36,0.3,0.34,0.0,0.66
20000,200,0.3,0.34,0.3,0.4,0.0,0.46
5000,200,0.21599999999999997,0.16,0.18,0.3,0.0,0.44
30000,200,0.196,0.08,0.2,0.18,0.0,0.52
15000,200,0.28400000000000003,0.16,0.28,0.4,0.02,0.56
