step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
15000,0,0.4720000000000001,0.28,0.84,0.34,0.0,0.9
30000,0,0.45599999999999996,0.0,0.74,0.6,0.02,0.92
10000,0,0.5119999999999999,0.44,0.78,0.6,0.04,0.7
25000,0,0.388,0.28,0.66,0.08,0.0,0.92
5000,0,0.256,0.1,0.42,0.2,0.04,0.52
50000,0,0.5119999999999999,0.48,0.84,0.36,0.02,0.86
20000,0,0.404,0.32,0.66,0.34,0.0,0.7
45000,0,0.524,0.52,0.62,0.54,0.02,0.92
35000,0,0.512,0.18,0.56,0.64,0.3,0.88
40000,10,0.656,0.6,0.86,0.68,0.18,0.96
35000,10,0.6839999999999999,0.78,0.8,0.72,0.18,0.94
40000,0,0.472,0.02,0.84,0.52,0.06,0.92
45000,10,0.632,0.74,0.84,0.58,0.04,0.96
30000,10,0.648,0.64,0.84,0.72,0.1,0.94
5000,10,0.6599999999999999,0.72,0.86,0.76,0.04,0.92
50000,10,0.672,0.78,0.84,0.74,0.04,0.96
10000,10,0.6719999999999999,0.6,0.88,0.82,0.12,0.94
25000,10,0.708,0.82,0.9,0.82,0.06,0.94
5000,20,0.7040000000000001,0.7,0.86,0.76,0.22,0.98
15000,10,0.652,0.66,0.82,0.8,0.06,0.92
20000,10,0.604,0.54,0.8,0.64,0.08,0.96
10000,20,0.704,0.86,0.86,0.68,0.18,0.94
20000,20,0.668,0.74,0.86,0.68,0.12,0.94
15000,20,0.656,0.68,0.88,0.68,0.12,0.92
25000,20,0.6839999999999999,0.78,0.86,0.78,0.1,0.9
35000,20,0.696,0.78,0.88,0.64,0.24,0.94
40000,20,0.752,0.84,0.86,0.84,0.3,0.92
30000,20,0.688,0.72,0.94,0.78,0.12,0.88
45000,20,0.712,0.8,0.98,0.68,0.12,0.98
50000,20,0.696,0.74,0.9,0.86,0.06,0.92
15000,50,0.716,0.78,0.86,0.82,0.14,0.98
5000,50,0.6719999999999999,0.8,0.94,0.6,0.1,0.92
10000,50,0.7000000000000001,0.88,0.8,0.8,0.1,0.92
20000,50,0.644,0.86,0.66,0.66,0.14,0.9
35000,50,0.756,0.82,0.88,0.86,0.28,0.94
45000,50,0.728,0.84,0.84,0.8,0.18,0.98
30000,50,0.688,0.82,0.86,0.64,0.14,0.98
25000,50,0.704,0.82,0.86,0.76,0.1,0.98
50000,50,0.6719999999999999,0.8,0.78,0.76,0.1,0.92
40000,50,0.72,0.82,0.94,0.7,0.16,0.98
5000,100,0.7,0.82,0.82,0.78,0.14,0.94
30000,100,0.732,0.86,0.88,0.78,0.16,0.98
20000,100,0.696,0.88,0.86,0.74,0.06,0.94
45000,100,0.672,0.8,0.82,0.68,0.12,0.94
40000,100,0.716,0.82,0.84,0.82,0.16,0.94
10000,100,0.704,0.84,0.84,0.74,0.16,0.94
15000,100,0.692,0.74,0.94,0.68,0.14,0.96
35000,100,0.732,0.86,0.88,0.76,0.22,0.94
50000,100,0.716,0.96,0.84,0.82,0.02,0.94
25000,100,0.716,0.88,0.88,0.82,0.08,0.92
35000,200,0.736,0.88,0.92,0.74,0.2,0.94
20000,200,0.716,0.86,0.92,0.74,0.08,0.98
10000,200,0.708,0.78,0.84,0.76,0.22,0.94
30000,200,0.72,0.88,0.8,0.82,0.2,0.9
50000,200,0.708,0.86,0.9,0.72,0.08,0.98
40000,200,0.728,0.84,0.84,0.8,0.18,0.98
5000,200,0.712,0.78,0.82,0.68,0.32,0.96
15000,200,0.712,0.86,0.86,0.72,0.24,0.88
25000,200,0.7,0.9,0.94,0.76,0.08,0.82
45000,200,0.708,0.82,0.88,0.78,0.08,0.98
100000,0,0.54,0.54,0.6,0.72,0.02,0.82
100000,10,0.656,0.62,0.92,0.68,0.08,0.98
100000,20,0.704,0.94,0.78,0.78,0.14,0.88
100000,50,0.732,0.88,0.9,0.86,0.06,0.96
100000,100,0.704,0.76,0.92,0.74,0.16,0.94
100000,200,0.708,0.94,0.78,0.78,0.18,0.86
