step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
15000,0,0.512,0.4,0.86,0.52,0.1,0.68
20000,0,0.492,0.62,0.74,0.42,0.0,0.68
10000,0,0.43599999999999994,0.24,0.54,0.46,0.16,0.78
5000,0,0.392,0.24,0.8,0.28,0.4,0.24
35000,0,0.528,0.14,0.78,0.76,0.34,0.62
25000,0,0.44000000000000006,0.06,0.72,0.54,0.06,0.82
40000,0,0.34800000000000003,0.14,0.62,0.36,0.08,0.54
30000,0,0.36,0.5,0.4,0.42,0.24,0.24
45000,0,0.54,0.2,0.84,0.62,0.5,0.54
50000,0,0.45600000000000007,0.6,0.68,0.08,0.12,0.8
10000,10,0.7,0.84,0.78,0.56,0.36,0.96
45000,10,0.716,0.8,0.8,0.7,0.38,0.9
40000,10,0.724,0.86,0.74,0.66,0.36,1.0
35000,10,0.756,0.88,0.9,0.7,0.42,0.88
5000,10,0.6799999999999999,0.82,0.74,0.58,0.32,0.94
20000,10,0.648,0.8,0.78,0.64,0.2,0.82
50000,10,0.704,0.74,0.84,0.58,0.46,0.9
15000,10,0.708,0.86,0.7,0.62,0.46,0.9
30000,10,0.6719999999999999,0.8,0.72,0.6,0.36,0.88
25000,10,0.696,0.78,0.78,0.64,0.38,0.9
20000,20,0.696,0.86,0.78,0.66,0.24,0.94
10000,20,0.732,0.9,0.76,0.74,0.32,0.94
15000,20,0.736,0.9,0.88,0.64,0.32,0.94
5000,20,0.72,0.86,0.86,0.68,0.28,0.92
25000,20,0.704,0.82,0.82,0.68,0.32,0.88
30000,20,0.692,0.82,0.82,0.68,0.26,0.88
40000,20,0.74,0.84,0.8,0.68,0.44,0.94
35000,20,0.756,0.92,0.96,0.72,0.24,0.94
50000,20,0.736,0.88,0.88,0.64,0.36,0.92
45000,20,0.748,0.94,0.72,0.74,0.38,0.96
5000,50,0.748,0.84,0.8,0.88,0.28,0.94
10000,50,0.768,0.88,0.9,0.74,0.36,0.96
15000,50,0.7519999999999999,0.94,0.84,0.74,0.26,0.98
25000,50,0.756,0.86,0.88,0.7,0.4,0.94
40000,50,0.7679999999999999,0.94,0.84,0.7,0.46,0.9
20000,50,0.716,0.86,0.86,0.72,0.2,0.94
30000,50,0.72,0.88,0.84,0.68,0.28,0.92
35000,50,0.748,0.86,0.8,0.7,0.42,0.96
45000,50,0.712,0.94,0.84,0.62,0.24,0.92
50000,50,0.732,0.92,0.8,0.62,0.36,0.96
5000,100,0.764,0.86,0.86,0.78,0.4,0.92
15000,100,0.76,0.84,0.84,0.76,0.44,0.92
10000,100,0.74,0.88,0.82,0.78,0.32,0.9
20000,100,0.712,0.94,0.84,0.5,0.38,0.9
35000,100,0.764,0.86,0.88,0.7,0.44,0.94
30000,100,0.72,0.86,0.78,0.7,0.38,0.88
25000,100,0.7,0.82,0.82,0.6,0.4,0.86
45000,100,0.708,0.9,0.4,0.72,0.56,0.96
40000,100,0.764,0.86,0.92,0.7,0.46,0.88
50000,100,0.732,0.88,0.86,0.66,0.36,0.9
45000,200,0.784,0.94,0.9,0.74,0.42,0.92
25000,200,0.784,0.92,0.88,0.72,0.48,0.92
10000,200,0.744,0.88,0.9,0.68,0.3,0.96
35000,200,0.8160000000000001,0.88,0.94,0.8,0.54,0.92
15000,200,0.744,0.88,0.88,0.7,0.32,0.94
50000,200,0.716,0.88,0.88,0.62,0.32,0.88
40000,200,0.736,0.88,0.86,0.64,0.36,0.94
30000,200,0.74,0.9,0.86,0.72,0.36,0.86
5000,200,0.736,0.86,0.86,0.72,0.34,0.9
20000,200,0.744,0.9,0.82,0.68,0.46,0.86
100000,0,0.5599999999999999,0.46,0.88,0.6,0.44,0.42
100000,10,0.744,0.84,0.78,0.64,0.54,0.92
100000,20,0.724,0.8,0.78,0.7,0.44,0.9
100000,50,0.776,0.98,0.9,0.68,0.46,0.86
100000,100,0.74,0.84,0.76,0.8,0.4,0.9
100000,200,0.784,0.9,0.92,0.66,0.44,1.0
