step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
15000,0,0.516,0.42,0.6,0.72,0.0,0.84
40000,10,0.756,0.96,0.9,0.82,0.16,0.94
50000,10,0.712,0.9,0.84,0.82,0.02,0.98
45000,10,0.748,0.94,0.9,0.92,0.06,0.92
10000,0,0.312,0.48,0.02,0.18,0.0,0.88
5000,0,0.348,0.5,0.18,0.46,0.0,0.6
50000,0,0.33199999999999996,0.32,0.16,0.36,0.0,0.82
20000,0,0.332,0.0,0.48,0.34,0.0,0.84
25000,0,0.316,0.42,0.26,0.02,0.0,0.88
30000,10,0.736,0.82,0.86,0.86,0.14,1.0
25000,10,0.708,0.92,0.86,0.72,0.08,0.96
35000,10,0.7000000000000001,0.88,0.76,0.8,0.08,0.98
40000,0,0.352,0.48,0.72,0.02,0.0,0.54
5000,10,0.676,0.74,0.86,0.76,0.1,0.92
45000,0,0.384,0.26,0.48,0.24,0.0,0.94
20000,10,0.664,0.78,0.82,0.72,0.04,0.96
10000,10,0.716,0.92,0.86,0.72,0.12,0.96
10000,20,0.728,0.92,0.9,0.76,0.12,0.94
45000,20,0.732,0.88,0.86,0.88,0.08,0.96
15000,10,0.664,0.84,0.8,0.68,0.08,0.92
5000,20,0.688,0.84,0.88,0.6,0.2,0.92
15000,20,0.7,0.9,0.76,0.8,0.06,0.98
40000,20,0.728,0.94,0.88,0.78,0.12,0.92
30000,20,0.748,0.86,0.9,0.88,0.12,0.98
50000,20,0.708,0.9,0.92,0.74,0.02,0.96
20000,20,0.72,0.82,0.96,0.86,0.06,0.9
35000,20,0.704,0.88,0.86,0.74,0.14,0.9
25000,20,0.716,0.92,0.88,0.8,0.04,0.94
45000,50,0.744,0.94,0.9,0.88,0.06,0.94
50000,50,0.716,0.86,0.86,0.8,0.08,0.98
15000,50,0.688,0.86,0.9,0.62,0.16,0.9
5000,50,0.724,0.82,0.94,0.76,0.14,0.96
40000,50,0.748,0.9,0.92,0.88,0.12,0.92
35000,50,0.712,0.94,0.86,0.74,0.06,0.96
10000,50,0.728,0.86,0.86,0.88,0.06,0.98
20000,50,0.7,0.9,0.82,0.76,0.04,0.98
25000,50,0.712,0.96,0.8,0.8,0.06,0.94
25000,100,0.752,0.94,0.86,0.78,0.22,0.96
30000,100,0.728,0.94,0.88,0.74,0.08,1.0
15000,100,0.74,0.9,0.84,0.9,0.12,0.94
10000,100,0.724,0.94,0.84,0.76,0.18,0.9
