step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
30000,0,0.45599999999999996,0.0,0.74,0.6,0.02,0.92
10000,0,0.5119999999999999,0.44,0.78,0.6,0.04,0.7
20000,0,0.404,0.32,0.66,0.34,0.0,0.7
5000,0,0.256,0.1,0.42,0.2,0.04,0.52
15000,0,0.4720000000000001,0.28,0.84,0.34,0.0,0.9
25000,0,0.388,0.28,0.66,0.08,0.0,0.92
50000,0,0.5119999999999999,0.48,0.84,0.36,0.02,0.86
10000,10,0.6319999999999999,0.52,0.84,0.74,0.1,0.96
45000,0,0.524,0.52,0.62,0.54,0.02,0.92
5000,10,0.584,0.42,0.92,0.64,0.02,0.92
40000,0,0.472,0.02,0.84,0.52,0.06,0.92
25000,10,0.604,0.66,0.82,0.6,0.04,0.9
35000,10,0.64,0.52,0.88,0.72,0.14,0.94
35000,0,0.512,0.18,0.56,0.64,0.3,0.88
15000,10,0.544,0.36,0.88,0.56,0.04,0.88
40000,10,0.6399999999999999,0.5,0.9,0.7,0.14,0.96
20000,10,0.5760000000000001,0.54,0.8,0.54,0.08,0.92
50000,10,0.644,0.7,0.8,0.68,0.14,0.9
30000,10,0.612,0.4,0.9,0.72,0.08,0.96
45000,10,0.652,0.72,0.88,0.66,0.06,0.94
15000,20,0.6479999999999999,0.54,0.84,0.76,0.14,0.96
10000,20,0.6719999999999999,0.68,0.8,0.82,0.18,0.88
35000,20,0.6839999999999999,0.64,0.78,0.84,0.2,0.96
5000,20,0.6199999999999999,0.52,0.88,0.74,0.1,0.86
30000,20,0.6359999999999999,0.52,0.82,0.72,0.14,0.98
40000,20,0.6839999999999999,0.58,0.9,0.86,0.14,0.94
50000,20,0.668,0.7,0.84,0.66,0.16,0.98
25000,20,0.64,0.56,0.88,0.72,0.06,0.98
45000,20,0.6799999999999999,0.84,0.84,0.62,0.14,0.96
20000,20,0.608,0.54,0.82,0.68,0.12,0.88
5000,50,0.676,0.76,0.9,0.68,0.16,0.88
50000,50,0.748,0.82,0.94,0.8,0.22,0.96
45000,50,0.74,0.86,0.94,0.74,0.2,0.96
30000,50,0.724,0.74,0.94,0.74,0.24,0.96
20000,50,0.668,0.76,0.9,0.68,0.1,0.9
25000,50,0.6519999999999999,0.74,0.82,0.7,0.08,0.92
10000,50,0.668,0.78,0.9,0.72,0.04,0.9
35000,50,0.7,0.7,0.84,0.82,0.22,0.92
15000,50,0.652,0.7,0.86,0.72,0.04,0.94
40000,50,0.668,0.74,0.92,0.68,0.16,0.84
5000,100,0.74,0.8,0.94,0.76,0.28,0.92
10000,100,0.724,0.74,0.84,0.74,0.32,0.98
25000,100,0.724,0.84,0.88,0.8,0.18,0.92
30000,100,0.756,0.88,0.9,0.8,0.24,0.96
50000,100,0.728,0.98,0.78,0.78,0.14,0.96
40000,100,0.716,0.84,0.88,0.76,0.14,0.96
45000,100,0.704,0.9,0.86,0.7,0.1,0.96
20000,100,0.716,0.82,0.92,0.74,0.14,0.96
15000,100,0.628,0.68,0.88,0.58,0.08,0.92
35000,100,0.748,0.84,0.86,0.78,0.34,0.92
25000,200,0.716,0.82,0.9,0.7,0.2,0.96
20000,200,0.712,0.84,0.94,0.76,0.12,0.9
35000,200,0.772,0.9,0.88,0.76,0.4,0.92
30000,200,0.736,0.82,0.86,0.76,0.28,0.96
50000,200,0.728,0.86,0.84,0.82,0.18,0.94
15000,200,0.6759999999999999,0.82,0.86,0.64,0.12,0.94
40000,200,0.764,0.88,0.94,0.84,0.26,0.9
45000,200,0.732,0.9,0.96,0.76,0.16,0.88
5000,200,0.688,0.78,0.78,0.78,0.2,0.9
10000,200,0.704,0.8,0.94,0.6,0.24,0.94
