step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.43599999999999994,0.24,0.54,0.46,0.16,0.78
15000,0,0.512,0.4,0.86,0.52,0.1,0.68
5000,0,0.392,0.24,0.8,0.28,0.4,0.24
20000,0,0.492,0.62,0.74,0.42,0.0,0.68
25000,0,0.44000000000000006,0.06,0.72,0.54,0.06,0.82
30000,0,0.36,0.5,0.4,0.42,0.24,0.24
45000,0,0.54,0.2,0.84,0.62,0.5,0.54
35000,0,0.528,0.14,0.78,0.76,0.34,0.62
40000,0,0.34800000000000003,0.14,0.62,0.36,0.08,0.54
20000,10,0.656,0.86,0.68,0.54,0.24,0.96
15000,10,0.6639999999999999,0.92,0.68,0.5,0.28,0.94
50000,0,0.45600000000000007,0.6,0.68,0.08,0.12,0.8
5000,10,0.608,0.74,0.74,0.38,0.38,0.8
25000,10,0.6559999999999999,0.66,0.74,0.54,0.38,0.96
10000,10,0.6119999999999999,0.72,0.66,0.48,0.28,0.92
35000,10,0.716,0.74,0.74,0.62,0.5,0.98
30000,10,0.6679999999999999,0.78,0.7,0.48,0.44,0.94
40000,10,0.688,0.84,0.72,0.62,0.3,0.96
50000,10,0.6559999999999999,0.88,0.68,0.46,0.34,0.92
45000,10,0.6639999999999999,0.84,0.78,0.48,0.32,0.9
50000,20,0.716,0.88,0.88,0.46,0.4,0.96
40000,20,0.6759999999999999,0.86,0.82,0.52,0.3,0.88
5000,20,0.668,0.8,0.78,0.6,0.26,0.9
15000,20,0.728,0.84,0.68,0.78,0.42,0.92
35000,20,0.724,0.82,0.82,0.58,0.5,0.9
25000,20,0.708,0.86,0.78,0.62,0.34,0.94
30000,20,0.672,0.8,0.74,0.66,0.28,0.88
20000,20,0.628,0.86,0.72,0.44,0.22,0.9
45000,20,0.736,0.98,0.88,0.54,0.36,0.92
10000,20,0.628,0.8,0.74,0.5,0.24,0.86
5000,50,0.6719999999999999,0.9,0.82,0.54,0.22,0.88
10000,50,0.704,0.88,0.84,0.68,0.22,0.9
20000,50,0.7,0.88,0.82,0.46,0.42,0.92
45000,50,0.736,0.94,0.8,0.66,0.42,0.86
40000,50,0.784,0.92,0.9,0.56,0.58,0.96
25000,50,0.768,0.98,0.88,0.56,0.44,0.98
35000,50,0.748,0.92,0.86,0.56,0.44,0.96
15000,50,0.72,0.88,0.74,0.74,0.4,0.84
30000,50,0.76,0.9,0.88,0.76,0.36,0.9
50000,50,0.748,0.88,0.78,0.72,0.4,0.96
15000,100,0.76,0.84,0.9,0.68,0.42,0.96
10000,100,0.78,0.92,0.88,0.76,0.4,0.94
35000,100,0.756,0.82,0.86,0.68,0.48,0.94
50000,100,0.696,0.82,0.82,0.56,0.32,0.96
30000,100,0.748,0.9,0.8,0.72,0.36,0.96
5000,100,0.6880000000000001,0.86,0.78,0.64,0.22,0.94
45000,100,0.748,0.92,0.9,0.6,0.38,0.94
25000,100,0.744,0.94,0.82,0.62,0.4,0.94
20000,100,0.732,0.84,0.82,0.68,0.32,1.0
40000,100,0.7080000000000001,0.92,0.78,0.68,0.26,0.9
15000,200,0.748,0.96,0.86,0.66,0.28,0.98
35000,200,0.788,0.98,0.92,0.68,0.44,0.92
45000,200,0.8039999999999999,0.92,0.86,0.72,0.56,0.96
25000,200,0.732,0.88,0.82,0.7,0.38,0.88
5000,200,0.756,0.94,0.84,0.68,0.38,0.94
50000,200,0.76,0.88,0.86,0.64,0.42,1.0
20000,200,0.6759999999999999,0.92,0.76,0.56,0.26,0.88
10000,200,0.74,0.82,0.8,0.74,0.38,0.96
40000,200,0.716,0.86,0.84,0.6,0.38,0.9
30000,200,0.74,0.92,0.8,0.66,0.48,0.84
