step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.10800000000000001,0.22,0.0,0.3,0.0,0.02
5000,0,0.13599999999999998,0.12,0.5,0.0,0.0,0.06
40000,0,0.22000000000000003,0.62,0.02,0.36,0.04,0.06
30000,0,0.23199999999999998,0.42,0.52,0.0,0.0,0.22
35000,0,0.192,0.02,0.24,0.02,0.0,0.68
50000,0,0.10800000000000001,0.0,0.06,0.12,0.0,0.36
25000,0,0.13199999999999998,0.0,0.06,0.3,0.0,0.3
15000,0,0.06799999999999999,0.26,0.0,0.04,0.0,0.04
20000,0,0.04,0.0,0.0,0.0,0.0,0.2
45000,0,0.184,0.08,0.14,0.16,0.0,0.54
10000,10,0.548,0.84,0.78,0.24,0.0,0.88
5000,10,0.42000000000000004,0.58,0.44,0.1,0.04,0.94
30000,10,0.484,0.52,0.8,0.22,0.0,0.88
15000,10,0.44800000000000006,0.52,0.52,0.32,0.04,0.84
25000,10,0.388,0.48,0.52,0.06,0.0,0.88
40000,10,0.46399999999999997,0.5,0.84,0.08,0.02,0.88
35000,10,0.43200000000000005,0.52,0.7,0.16,0.0,0.78
45000,10,0.388,0.44,0.58,0.12,0.0,0.8
50000,10,0.396,0.4,0.64,0.16,0.0,0.78
20000,10,0.368,0.5,0.42,0.2,0.0,0.72
10000,20,0.596,0.9,0.62,0.48,0.0,0.98
5000,20,0.512,0.7,0.54,0.36,0.04,0.92
40000,20,0.4720000000000001,0.28,0.86,0.26,0.08,0.88
25000,20,0.42400000000000004,0.44,0.46,0.3,0.0,0.92
15000,20,0.524,0.78,0.6,0.34,0.02,0.88
50000,20,0.38,0.18,0.66,0.32,0.02,0.72
30000,20,0.508,0.62,0.78,0.28,0.0,0.86
20000,20,0.41200000000000003,0.3,0.48,0.42,0.02,0.84
35000,20,0.488,0.64,0.72,0.16,0.02,0.9
45000,20,0.43200000000000005,0.46,0.66,0.2,0.0,0.84
35000,50,0.6,0.86,0.76,0.46,0.08,0.84
10000,50,0.612,0.86,0.62,0.62,0.02,0.94
30000,50,0.616,0.76,0.78,0.62,0.0,0.92
15000,50,0.6,0.84,0.68,0.5,0.06,0.92
25000,50,0.5599999999999999,0.84,0.5,0.44,0.06,0.96
45000,50,0.576,0.68,0.78,0.5,0.0,0.92
40000,50,0.5479999999999999,0.52,0.88,0.36,0.02,0.96
5000,50,0.528,0.66,0.5,0.48,0.08,0.92
20000,50,0.46799999999999997,0.38,0.74,0.36,0.0,0.86
30000,100,0.6519999999999999,0.86,0.86,0.62,0.0,0.92
10000,100,0.632,0.88,0.72,0.62,0.04,0.9
25000,100,0.604,0.78,0.62,0.58,0.06,0.98
35000,100,0.628,0.9,0.76,0.52,0.04,0.92
40000,100,0.624,0.58,0.88,0.66,0.08,0.92
45000,100,0.644,0.74,0.82,0.72,0.02,0.92
15000,100,0.664,0.84,0.76,0.6,0.14,0.98
20000,100,0.5479999999999999,0.68,0.72,0.46,0.0,0.88
5000,100,0.588,0.88,0.64,0.5,0.06,0.86
50000,100,0.548,0.38,0.8,0.56,0.08,0.92
15000,200,0.6920000000000001,0.92,0.72,0.66,0.2,0.96
10000,200,0.708,0.88,0.86,0.78,0.04,0.98
5000,200,0.608,0.86,0.64,0.52,0.06,0.96
35000,200,0.6679999999999999,0.9,0.84,0.62,0.04,0.94
40000,200,0.6639999999999999,0.7,0.86,0.78,0.04,0.94
50000,200,0.6119999999999999,0.74,0.78,0.7,0.04,0.8
30000,200,0.7,0.96,0.86,0.72,0.02,0.94
20000,200,0.58,0.74,0.7,0.48,0.04,0.94
45000,200,0.6279999999999999,0.74,0.94,0.54,0.0,0.92
25000,200,0.576,0.84,0.6,0.48,0.06,0.9
50000,50,0.484,0.38,0.68,0.44,0.1,0.82
