step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
30000,0,0.064,0.04,0.0,0.26,0.0,0.02
15000,0,0.06799999999999999,0.0,0.0,0.3,0.0,0.04
25000,0,0.06,0.0,0.0,0.24,0.0,0.06
20000,0,0.076,0.0,0.0,0.24,0.0,0.14
35000,0,0.076,0.02,0.02,0.26,0.0,0.08
10000,0,0.096,0.08,0.02,0.26,0.0,0.12
5000,0,0.076,0.06,0.0,0.22,0.0,0.1
25000,10,0.592,0.64,0.64,0.54,0.36,0.78
15000,10,0.6119999999999999,0.68,0.58,0.6,0.5,0.7
35000,10,0.6040000000000001,0.54,0.78,0.56,0.52,0.62
30000,10,0.5720000000000001,0.62,0.54,0.56,0.38,0.76
20000,10,0.5720000000000001,0.44,0.64,0.58,0.54,0.66
10000,10,0.608,0.6,0.78,0.56,0.54,0.56
5000,10,0.548,0.42,0.62,0.5,0.46,0.74
35000,20,0.66,0.62,0.74,0.62,0.66,0.66
25000,20,0.604,0.64,0.62,0.6,0.48,0.68
30000,20,0.6,0.54,0.7,0.48,0.52,0.76
20000,20,0.5959999999999999,0.68,0.72,0.4,0.42,0.76
15000,20,0.564,0.7,0.58,0.52,0.38,0.64
10000,20,0.5720000000000001,0.64,0.56,0.52,0.42,0.72
5000,20,0.5800000000000001,0.64,0.54,0.6,0.48,0.64
35000,50,0.5800000000000001,0.5,0.56,0.64,0.48,0.72
25000,50,0.6359999999999999,0.66,0.62,0.56,0.62,0.72
30000,50,0.624,0.64,0.8,0.54,0.44,0.7
20000,50,0.652,0.58,0.72,0.62,0.66,0.68
10000,50,0.584,0.56,0.64,0.5,0.5,0.72
15000,50,0.5640000000000001,0.62,0.62,0.54,0.46,0.58
5000,50,0.568,0.56,0.58,0.44,0.4,0.86
35000,100,0.6439999999999999,0.64,0.64,0.52,0.62,0.8
30000,100,0.644,0.64,0.68,0.62,0.6,0.68
15000,100,0.584,0.64,0.54,0.54,0.46,0.74
10000,100,0.6040000000000001,0.54,0.68,0.64,0.5,0.66
20000,100,0.6439999999999999,0.62,0.66,0.56,0.58,0.8
5000,100,0.5640000000000001,0.58,0.54,0.56,0.48,0.66
30000,200,0.608,0.66,0.7,0.52,0.42,0.74
20000,200,0.6,0.56,0.66,0.6,0.44,0.74
25000,200,0.5599999999999999,0.6,0.58,0.54,0.36,0.72
10000,200,0.528,0.42,0.6,0.5,0.44,0.68
15000,200,0.5800000000000001,0.56,0.6,0.52,0.52,0.7
5000,200,0.532,0.54,0.52,0.48,0.34,0.78
35000,200,0.5760000000000001,0.62,0.52,0.54,0.54,0.66
