step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
25000,0,0.06400000000000002,0.02,0.0,0.28,0.0,0.02
35000,0,0.048,0.04,0.0,0.18,0.02,0.0
20000,0,0.05600000000000001,0.0,0.0,0.22,0.0,0.06
30000,0,0.055999999999999994,0.0,0.0,0.24,0.0,0.04
5000,0,0.08,0.06,0.0,0.2,0.0,0.14
10000,0,0.06000000000000001,0.04,0.0,0.16,0.0,0.1
15000,0,0.07600000000000001,0.06,0.0,0.22,0.02,0.08
25000,10,0.5879999999999999,0.76,0.58,0.38,0.46,0.76
30000,10,0.548,0.56,0.56,0.58,0.38,0.66
35000,10,0.584,0.66,0.58,0.62,0.42,0.64
20000,10,0.56,0.62,0.58,0.46,0.54,0.6
5000,10,0.5599999999999999,0.52,0.62,0.52,0.36,0.78
15000,10,0.544,0.54,0.64,0.6,0.38,0.56
10000,10,0.552,0.66,0.58,0.56,0.36,0.6
20000,20,0.62,0.66,0.64,0.68,0.52,0.6
30000,20,0.6439999999999999,0.72,0.62,0.72,0.5,0.66
25000,20,0.5720000000000001,0.68,0.44,0.64,0.44,0.66
35000,20,0.5599999999999999,0.52,0.52,0.6,0.4,0.76
15000,20,0.5720000000000001,0.62,0.58,0.56,0.42,0.68
10000,20,0.488,0.5,0.56,0.42,0.36,0.6
5000,20,0.524,0.6,0.52,0.48,0.38,0.64
25000,50,0.64,0.64,0.7,0.64,0.58,0.64
15000,50,0.6279999999999999,0.68,0.64,0.6,0.46,0.76
20000,50,0.6199999999999999,0.64,0.66,0.52,0.48,0.8
30000,50,0.5760000000000001,0.68,0.56,0.54,0.44,0.66
35000,50,0.6279999999999999,0.66,0.64,0.64,0.5,0.7
10000,50,0.596,0.7,0.62,0.56,0.48,0.62
5000,50,0.584,0.58,0.64,0.62,0.46,0.62
30000,100,0.616,0.7,0.6,0.64,0.5,0.64
20000,100,0.672,0.74,0.64,0.62,0.6,0.76
35000,100,0.5880000000000001,0.66,0.56,0.66,0.48,0.58
15000,100,0.6519999999999999,0.6,0.66,0.78,0.44,0.78
5000,100,0.64,0.62,0.66,0.56,0.62,0.74
25000,100,0.592,0.64,0.6,0.48,0.5,0.74
10000,100,0.584,0.6,0.68,0.54,0.38,0.72
20000,200,0.656,0.72,0.6,0.62,0.64,0.7
30000,200,0.556,0.62,0.5,0.6,0.38,0.68
25000,200,0.6,0.8,0.66,0.46,0.52,0.56
15000,200,0.576,0.6,0.44,0.6,0.52,0.72
35000,200,0.584,0.52,0.58,0.62,0.4,0.8
5000,200,0.548,0.66,0.52,0.6,0.26,0.7
10000,200,0.52,0.64,0.54,0.54,0.38,0.5
