step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.05600000000000001,0.0,0.1,0.12,0.0,0.06
10000,0,0.028000000000000004,0.0,0.02,0.1,0.0,0.02
30000,0,0.024,0.04,0.04,0.04,0.0,0.0
25000,0,0.044,0.02,0.0,0.12,0.0,0.08
20000,0,0.068,0.1,0.06,0.14,0.0,0.04
15000,0,0.044000000000000004,0.0,0.04,0.14,0.0,0.04
35000,0,0.036,0.0,0.02,0.14,0.0,0.02
40000,0,0.06000000000000001,0.0,0.14,0.14,0.0,0.02
45000,0,0.072,0.2,0.02,0.12,0.0,0.02
50000,0,0.08,0.08,0.08,0.06,0.0,0.18
5000,10,0.32,0.4,0.36,0.42,0.1,0.32
10000,10,0.31600000000000006,0.34,0.5,0.34,0.08,0.32
25000,10,0.33599999999999997,0.42,0.54,0.38,0.06,0.28
20000,10,0.32,0.42,0.44,0.48,0.14,0.12
15000,10,0.312,0.36,0.54,0.44,0.1,0.12
30000,10,0.24000000000000005,0.22,0.46,0.38,0.08,0.06
45000,10,0.328,0.38,0.52,0.54,0.08,0.12
35000,10,0.22400000000000003,0.32,0.34,0.36,0.04,0.06
50000,10,0.29600000000000004,0.32,0.56,0.36,0.06,0.18
40000,10,0.248,0.26,0.48,0.24,0.08,0.18
5000,20,0.476,0.46,0.62,0.48,0.26,0.56
10000,20,0.41600000000000004,0.52,0.5,0.54,0.1,0.42
15000,20,0.44799999999999995,0.7,0.6,0.46,0.24,0.24
20000,20,0.39200000000000007,0.52,0.56,0.6,0.14,0.14
25000,20,0.372,0.44,0.62,0.42,0.16,0.22
30000,20,0.396,0.56,0.56,0.48,0.28,0.1
40000,20,0.388,0.44,0.64,0.52,0.16,0.18
35000,20,0.312,0.46,0.44,0.54,0.02,0.1
45000,20,0.43600000000000005,0.6,0.68,0.62,0.14,0.14
50000,20,0.392,0.56,0.64,0.46,0.16,0.14
20000,50,0.508,0.66,0.8,0.6,0.3,0.18
5000,50,0.528,0.4,0.7,0.52,0.38,0.64
15000,50,0.476,0.56,0.58,0.5,0.24,0.5
25000,50,0.4960000000000001,0.62,0.7,0.62,0.26,0.28
10000,50,0.504,0.62,0.74,0.42,0.26,0.48
30000,50,0.4920000000000001,0.56,0.64,0.6,0.46,0.2
45000,50,0.5120000000000001,0.72,0.84,0.6,0.28,0.12
40000,50,0.488,0.6,0.68,0.4,0.36,0.4
50000,50,0.44400000000000006,0.62,0.64,0.44,0.3,0.22
35000,50,0.42000000000000004,0.68,0.64,0.48,0.18,0.12
25000,100,0.564,0.68,0.78,0.56,0.42,0.38
5000,100,0.544,0.56,0.68,0.5,0.4,0.58
45000,100,0.568,0.7,0.76,0.68,0.38,0.32
50000,100,0.5319999999999999,0.64,0.8,0.56,0.32,0.34
15000,100,0.5,0.68,0.66,0.38,0.28,0.5
20000,100,0.4960000000000001,0.8,0.68,0.58,0.22,0.2
40000,100,0.5399999999999999,0.62,0.74,0.56,0.44,0.34
35000,100,0.484,0.62,0.72,0.64,0.24,0.2
30000,100,0.484,0.6,0.76,0.46,0.32,0.28
10000,100,0.492,0.58,0.58,0.48,0.4,0.42
50000,200,0.528,0.54,0.68,0.58,0.4,0.44
10000,200,0.5640000000000001,0.66,0.64,0.54,0.4,0.58
25000,200,0.5479999999999999,0.62,0.74,0.52,0.5,0.36
5000,200,0.624,0.68,0.7,0.62,0.44,0.68
20000,200,0.5479999999999999,0.62,0.66,0.58,0.46,0.42
40000,200,0.528,0.62,0.68,0.56,0.42,0.36
45000,200,0.568,0.74,0.8,0.72,0.34,0.24
15000,200,0.58,0.62,0.7,0.6,0.36,0.62
30000,200,0.5,0.56,0.76,0.6,0.32,0.26
35000,200,0.4600000000000001,0.66,0.6,0.6,0.26,0.18
