step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
5000,0,0.072,0.04,0.0,0.26,0.0,0.06
10000,0,0.10800000000000001,0.04,0.0,0.3,0.0,0.2
10000,10,0.6279999999999999,0.68,0.74,0.48,0.44,0.8
15000,0,0.10400000000000001,0.04,0.0,0.26,0.0,0.22
5000,10,0.6,0.52,0.64,0.6,0.44,0.8
20000,0,0.096,0.02,0.0,0.2,0.0,0.26
25000,0,0.10800000000000001,0.0,0.0,0.18,0.0,0.36
15000,10,0.564,0.72,0.58,0.54,0.32,0.66
20000,10,0.6599999999999999,0.64,0.74,0.72,0.44,0.76
25000,10,0.548,0.54,0.56,0.48,0.4,0.76
5000,20,0.6439999999999999,0.66,0.68,0.62,0.46,0.8
10000,20,0.616,0.5,0.52,0.66,0.6,0.8
35000,0,0.13999999999999999,0.04,0.0,0.38,0.0,0.28
30000,0,0.11600000000000002,0.0,0.0,0.32,0.0,0.26
15000,20,0.6439999999999999,0.78,0.74,0.58,0.34,0.78
20000,20,0.6439999999999999,0.68,0.68,0.54,0.52,0.8
35000,10,0.5880000000000001,0.66,0.6,0.54,0.36,0.78
30000,10,0.5720000000000001,0.66,0.58,0.56,0.42,0.64
25000,20,0.584,0.7,0.6,0.4,0.46,0.76
30000,20,0.5599999999999999,0.56,0.64,0.6,0.28,0.72
35000,20,0.6519999999999999,0.82,0.74,0.58,0.42,0.7
5000,50,0.652,0.74,0.68,0.68,0.5,0.66
10000,50,0.648,0.74,0.74,0.56,0.54,0.66
20000,50,0.684,0.66,0.68,0.68,0.72,0.68
15000,50,0.6439999999999999,0.72,0.52,0.68,0.44,0.86
25000,50,0.6359999999999999,0.64,0.72,0.6,0.4,0.82
30000,50,0.616,0.72,0.76,0.52,0.34,0.74
35000,50,0.616,0.56,0.64,0.66,0.46,0.76
5000,100,0.632,0.56,0.74,0.68,0.46,0.72
20000,100,0.704,0.72,0.8,0.56,0.58,0.86
10000,100,0.6359999999999999,0.54,0.78,0.58,0.56,0.72
35000,100,0.664,0.76,0.72,0.5,0.54,0.8
30000,100,0.6359999999999999,0.76,0.66,0.48,0.52,0.76
15000,100,0.592,0.7,0.58,0.5,0.44,0.74
25000,100,0.6119999999999999,0.58,0.7,0.66,0.38,0.74
5000,200,0.6519999999999999,0.66,0.66,0.7,0.52,0.72
10000,200,0.6519999999999999,0.64,0.62,0.72,0.56,0.72
15000,200,0.6159999999999999,0.62,0.6,0.58,0.46,0.82
20000,200,0.6599999999999999,0.74,0.6,0.58,0.6,0.78
25000,200,0.6439999999999999,0.66,0.76,0.6,0.44,0.76
30000,200,0.608,0.7,0.66,0.56,0.52,0.6
35000,200,0.624,0.66,0.68,0.56,0.5,0.72
