step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
350000,20,0.5439999999999999,0.84,0.68,0.2,0.28,0.72
400000,20,0.516,0.74,0.58,0.2,0.38,0.68
350000,50,0.5640000000000001,0.8,0.62,0.34,0.28,0.78
300000,50,0.6159999999999999,0.86,0.66,0.38,0.32,0.86
400000,50,0.5720000000000001,0.76,0.54,0.38,0.3,0.88
450000,10,0.5640000000000001,0.7,0.74,0.3,0.34,0.74
300000,20,0.5279999999999999,0.72,0.6,0.3,0.28,0.74
500000,10,0.492,0.7,0.54,0.26,0.34,0.62
500000,20,0.632,0.9,0.7,0.26,0.52,0.78
400000,0,0.40800000000000003,0.56,0.34,0.26,0.24,0.64
450000,0,0.36000000000000004,0.28,0.26,0.32,0.28,0.66
450000,20,0.5599999999999999,0.84,0.74,0.18,0.3,0.74
300000,10,0.492,0.62,0.58,0.24,0.28,0.74
500000,0,0.376,0.56,0.14,0.32,0.28,0.58
450000,50,0.584,0.72,0.7,0.46,0.34,0.7
350000,10,0.492,0.62,0.62,0.24,0.2,0.78
500000,50,0.572,0.7,0.68,0.36,0.46,0.66
300000,0,0.41600000000000004,0.6,0.3,0.24,0.34,0.6
400000,10,0.512,0.74,0.54,0.3,0.22,0.76
350000,0,0.41200000000000003,0.5,0.46,0.24,0.3,0.56
300000,100,0.5920000000000001,0.78,0.8,0.34,0.4,0.64
400000,100,0.544,0.84,0.56,0.32,0.42,0.58
450000,100,0.524,0.72,0.64,0.26,0.4,0.6
350000,100,0.568,0.76,0.62,0.28,0.46,0.72
500000,100,0.5319999999999999,0.76,0.6,0.36,0.34,0.6
450000,200,0.524,0.68,0.56,0.4,0.4,0.58
500000,200,0.4640000000000001,0.64,0.58,0.26,0.3,0.54
350000,200,0.552,0.72,0.54,0.44,0.4,0.66
300000,200,0.5559999999999999,0.78,0.48,0.48,0.22,0.82
400000,200,0.484,0.62,0.5,0.38,0.26,0.66
