step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.092,0.26,0.0,0.0,0.0,0.2
25000,0,0.11200000000000002,0.14,0.08,0.0,0.0,0.34
15000,0,0.092,0.16,0.06,0.22,0.0,0.02
20000,0,0.152,0.28,0.06,0.0,0.0,0.42
30000,0,0.048,0.02,0.14,0.04,0.0,0.04
10000,10,0.304,0.48,0.34,0.16,0.0,0.54
20000,10,0.32,0.46,0.46,0.06,0.0,0.62
15000,10,0.268,0.32,0.52,0.02,0.0,0.48
30000,10,0.264,0.16,0.7,0.04,0.0,0.42
25000,10,0.23200000000000004,0.28,0.34,0.08,0.0,0.46
15000,20,0.352,0.54,0.42,0.08,0.0,0.72
25000,20,0.288,0.64,0.26,0.06,0.0,0.48
5000,20,0.236,0.44,0.24,0.1,0.0,0.4
20000,20,0.316,0.54,0.5,0.1,0.0,0.44
10000,20,0.23600000000000004,0.38,0.12,0.04,0.0,0.64
20000,50,0.37200000000000005,0.64,0.5,0.1,0.0,0.62
10000,50,0.32,0.42,0.24,0.16,0.0,0.78
25000,50,0.304,0.44,0.5,0.04,0.0,0.54
30000,50,0.336,0.5,0.64,0.08,0.0,0.46
5000,50,0.34400000000000003,0.56,0.26,0.26,0.0,0.64
15000,50,0.38,0.44,0.52,0.24,0.0,0.7
15000,100,0.44000000000000006,0.54,0.46,0.44,0.02,0.74
10000,100,0.372,0.38,0.22,0.4,0.0,0.86
20000,100,0.396,0.62,0.36,0.28,0.0,0.72
30000,100,0.352,0.6,0.7,0.12,0.0,0.34
5000,100,0.41600000000000004,0.7,0.18,0.32,0.02,0.86
25000,100,0.42000000000000004,0.52,0.68,0.22,0.0,0.68
5000,200,0.492,0.8,0.46,0.48,0.0,0.72
10000,200,0.496,0.56,0.48,0.62,0.0,0.82
25000,200,0.516,0.64,0.74,0.34,0.0,0.86
20000,200,0.43200000000000005,0.32,0.56,0.42,0.0,0.86
