step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
15000,0,0.5599999999999999,0.84,0.56,0.82,0.0,0.58
40000,0,0.46799999999999997,0.76,0.46,0.38,0.0,0.74
45000,0,0.488,0.22,0.86,0.42,0.0,0.94
10000,0,0.40800000000000003,0.4,0.74,0.16,0.0,0.74
35000,0,0.252,0.0,0.08,0.22,0.0,0.96
30000,0,0.356,0.06,0.58,0.24,0.0,0.9
50000,0,0.46799999999999997,0.7,0.14,0.54,0.04,0.92
5000,0,0.28,0.1,0.34,0.72,0.0,0.24
15000,10,0.6439999999999999,0.84,0.86,0.52,0.02,0.98
25000,0,0.27599999999999997,0.24,0.28,0.04,0.0,0.82
5000,10,0.52,0.56,0.78,0.4,0.02,0.84
20000,0,0.156,0.0,0.06,0.04,0.0,0.68
25000,10,0.604,0.64,0.74,0.42,0.22,1.0
10000,10,0.5479999999999999,0.7,0.66,0.34,0.16,0.88
35000,10,0.548,0.74,0.8,0.24,0.06,0.9
40000,10,0.592,0.84,0.74,0.36,0.12,0.9
20000,10,0.44400000000000006,0.16,0.8,0.34,0.0,0.92
45000,10,0.5479999999999999,0.5,0.82,0.36,0.14,0.92
30000,10,0.532,0.36,0.7,0.44,0.22,0.94
50000,10,0.564,0.42,0.74,0.4,0.38,0.88
15000,20,0.6439999999999999,0.86,0.94,0.46,0.04,0.92
10000,20,0.528,0.74,0.56,0.4,0.04,0.9
25000,20,0.644,0.72,0.7,0.62,0.2,0.98
5000,20,0.5399999999999999,0.58,0.7,0.46,0.02,0.94
45000,20,0.5640000000000001,0.5,0.76,0.4,0.18,0.98
30000,20,0.544,0.4,0.78,0.42,0.12,1.0
20000,20,0.476,0.28,0.76,0.48,0.0,0.86
35000,20,0.588,0.74,0.76,0.36,0.14,0.94
40000,20,0.64,0.82,0.8,0.52,0.14,0.92
50000,20,0.6239999999999999,0.5,0.9,0.5,0.28,0.94
50000,50,0.712,0.84,0.9,0.58,0.3,0.94
35000,50,0.648,0.9,0.88,0.46,0.02,0.98
10000,50,0.632,0.86,0.8,0.54,0.06,0.9
5000,50,0.632,0.78,0.74,0.68,0.04,0.92
15000,50,0.648,0.86,0.82,0.56,0.02,0.98
25000,50,0.64,0.74,0.78,0.58,0.14,0.96
20000,50,0.5359999999999999,0.42,0.82,0.5,0.0,0.94
40000,50,0.652,0.78,0.82,0.62,0.1,0.94
30000,50,0.62,0.64,0.82,0.62,0.06,0.96
45000,50,0.664,0.8,0.8,0.62,0.14,0.96
15000,100,0.688,0.96,0.8,0.7,0.0,0.98
10000,100,0.6759999999999999,0.82,0.82,0.74,0.08,0.92
5000,100,0.616,0.74,0.76,0.56,0.02,1.0
25000,100,0.676,0.88,0.72,0.72,0.1,0.96
35000,100,0.652,0.82,0.84,0.54,0.06,1.0
40000,100,0.716,0.92,0.94,0.58,0.16,0.98
30000,100,0.652,0.78,0.8,0.62,0.1,0.96
50000,100,0.6920000000000001,0.8,0.88,0.66,0.22,0.9
45000,100,0.688,0.76,0.92,0.78,0.02,0.96
20000,100,0.592,0.68,0.86,0.52,0.0,0.9
15000,200,0.724,0.92,0.94,0.74,0.06,0.96
25000,200,0.692,0.9,0.84,0.74,0.0,0.98
50000,200,0.676,0.86,0.9,0.48,0.2,0.94
20000,200,0.628,0.68,0.84,0.62,0.02,0.98
30000,200,0.636,0.76,0.84,0.56,0.08,0.94
45000,200,0.696,0.9,0.92,0.6,0.1,0.96
5000,200,0.612,0.68,0.88,0.48,0.06,0.96
40000,200,0.6679999999999999,0.9,0.82,0.6,0.06,0.96
10000,200,0.6599999999999999,0.84,0.84,0.62,0.08,0.92
35000,200,0.656,0.9,0.76,0.68,0.0,0.94
