step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
25000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,10,0.13999999999999999,0.0,0.0,0.34,0.0,0.36
35000,10,0.096,0.0,0.0,0.16,0.0,0.32
5000,0,0.0,0.0,0.0,0.0,0.0,0.0
45000,10,0.18,0.08,0.0,0.36,0.0,0.46
15000,0,0.0,0.0,0.0,0.0,0.0,0.0
10000,10,0.16,0.1,0.0,0.26,0.0,0.44
15000,10,0.128,0.06,0.0,0.14,0.0,0.44
30000,20,0.144,0.06,0.0,0.16,0.0,0.5
20000,0,0.0,0.0,0.0,0.0,0.0,0.0
45000,0,0.0,0.0,0.0,0.0,0.0,0.0
30000,10,0.124,0.06,0.0,0.2,0.0,0.36
20000,20,0.24400000000000005,0.12,0.0,0.44,0.0,0.66
15000,20,0.23600000000000004,0.12,0.02,0.34,0.06,0.64
25000,10,0.152,0.06,0.0,0.26,0.0,0.44
20000,10,0.092,0.02,0.0,0.16,0.0,0.28
5000,10,0.096,0.0,0.0,0.26,0.02,0.2
30000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,20,0.17200000000000001,0.0,0.02,0.34,0.0,0.5
35000,0,0.0,0.0,0.0,0.0,0.0,0.0
40000,0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0,0.0,0.0,0.0,0.0,0.0,0.0
50000,10,0.184,0.08,0.0,0.32,0.0,0.52
5000,20,0.196,0.08,0.02,0.32,0.0,0.56
25000,20,0.17600000000000002,0.02,0.0,0.3,0.0,0.56
10000,20,0.21200000000000002,0.18,0.0,0.38,0.0,0.5
45000,20,0.152,0.04,0.0,0.26,0.0,0.46
50000,0,0.0,0.0,0.0,0.0,0.0,0.0
50000,20,0.16,0.04,0.0,0.3,0.0,0.46
35000,20,0.176,0.0,0.0,0.38,0.0,0.5
45000,50,0.26799999999999996,0.18,0.02,0.5,0.0,0.64
35000,50,0.21600000000000003,0.02,0.02,0.36,0.0,0.68
10000,50,0.256,0.22,0.0,0.46,0.0,0.6
5000,50,0.23200000000000004,0.08,0.04,0.36,0.02,0.66
15000,50,0.20400000000000001,0.1,0.0,0.36,0.0,0.56
25000,50,0.236,0.12,0.0,0.36,0.0,0.7
30000,50,0.184,0.06,0.0,0.2,0.0,0.66
20000,50,0.24000000000000005,0.18,0.08,0.22,0.04,0.68
40000,50,0.192,0.02,0.02,0.48,0.0,0.44
50000,50,0.264,0.08,0.0,0.54,0.02,0.68
5000,100,0.296,0.14,0.06,0.48,0.0,0.8
50000,100,0.27599999999999997,0.14,0.02,0.4,0.0,0.82
10000,100,0.3,0.38,0.0,0.36,0.0,0.76
30000,100,0.22000000000000003,0.06,0.0,0.32,0.0,0.72
25000,100,0.22400000000000003,0.14,0.0,0.32,0.0,0.66
40000,100,0.22400000000000003,0.02,0.0,0.48,0.02,0.6
20000,100,0.296,0.2,0.08,0.5,0.0,0.7
35000,100,0.22000000000000003,0.04,0.02,0.38,0.0,0.66
45000,100,0.264,0.12,0.0,0.46,0.0,0.74
15000,100,0.284,0.3,0.02,0.44,0.0,0.66
5000,200,0.22400000000000003,0.14,0.02,0.44,0.04,0.48
20000,200,0.296,0.24,0.04,0.46,0.02,0.72
35000,200,0.26,0.08,0.02,0.54,0.0,0.66
45000,200,0.27999999999999997,0.1,0.0,0.48,0.0,0.82
25000,200,0.27599999999999997,0.14,0.0,0.42,0.0,0.82
30000,200,0.20400000000000001,0.06,0.0,0.28,0.0,0.68
15000,200,0.296,0.28,0.02,0.46,0.0,0.72
10000,200,0.27999999999999997,0.16,0.0,0.48,0.0,0.76
50000,200,0.304,0.14,0.0,0.6,0.0,0.78
40000,200,0.244,0.08,0.0,0.52,0.02,0.6
