step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
10000,0,0.048,0.0,0.0,0.12,0.0,0.12
15000,0,0.024,0.04,0.0,0.04,0.0,0.04
5000,0,0.036000000000000004,0.04,0.0,0.1,0.0,0.04
20000,0,0.06400000000000002,0.0,0.02,0.28,0.0,0.02
30000,0,0.04,0.02,0.04,0.08,0.0,0.06
15000,10,0.52,0.56,0.5,0.58,0.4,0.56
5000,10,0.6119999999999999,0.68,0.6,0.5,0.48,0.8
10000,10,0.52,0.56,0.44,0.56,0.32,0.72
25000,0,0.064,0.0,0.02,0.24,0.0,0.06
30000,10,0.472,0.44,0.52,0.58,0.44,0.38
20000,10,0.536,0.6,0.6,0.54,0.4,0.54
25000,10,0.488,0.54,0.56,0.5,0.18,0.66
15000,20,0.532,0.7,0.46,0.5,0.34,0.66
5000,20,0.524,0.56,0.52,0.52,0.36,0.66
10000,20,0.488,0.52,0.42,0.44,0.34,0.72
30000,20,0.5800000000000001,0.6,0.52,0.62,0.44,0.72
25000,20,0.5439999999999999,0.56,0.62,0.44,0.4,0.7
20000,20,0.5,0.6,0.68,0.34,0.38,0.5
5000,50,0.6200000000000001,0.66,0.56,0.64,0.5,0.74
15000,50,0.6039999999999999,0.72,0.62,0.56,0.38,0.74
25000,50,0.6119999999999999,0.6,0.78,0.46,0.44,0.78
10000,50,0.516,0.56,0.56,0.52,0.36,0.58
20000,50,0.6,0.68,0.7,0.46,0.54,0.62
30000,50,0.552,0.62,0.64,0.52,0.38,0.6
15000,100,0.6439999999999999,0.66,0.76,0.56,0.42,0.82
25000,100,0.576,0.58,0.68,0.52,0.36,0.74
30000,100,0.5680000000000001,0.54,0.6,0.54,0.48,0.68
5000,100,0.6120000000000001,0.64,0.68,0.48,0.46,0.8
20000,100,0.592,0.54,0.72,0.7,0.4,0.6
10000,100,0.54,0.54,0.52,0.56,0.38,0.7
15000,200,0.572,0.58,0.72,0.54,0.4,0.62
25000,200,0.584,0.68,0.58,0.54,0.42,0.7
20000,200,0.5279999999999999,0.56,0.54,0.4,0.4,0.74
5000,200,0.664,0.8,0.72,0.58,0.5,0.72
30000,200,0.604,0.74,0.6,0.68,0.38,0.62
10000,200,0.5720000000000001,0.56,0.58,0.58,0.46,0.68
