step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
30000,0,0.088,0.0,0.06,0.18,0.0,0.2
20000,0,0.06,0.0,0.04,0.16,0.02,0.08
5000,0,0.08,0.02,0.04,0.22,0.0,0.12
30000,10,0.45600000000000007,0.52,0.52,0.5,0.2,0.54
10000,0,0.096,0.08,0.06,0.3,0.0,0.04
15000,0,0.092,0.0,0.0,0.14,0.0,0.32
25000,0,0.036000000000000004,0.0,0.0,0.14,0.0,0.04
5000,10,0.4840000000000001,0.5,0.52,0.32,0.4,0.68
10000,10,0.52,0.56,0.54,0.48,0.4,0.62
15000,10,0.524,0.6,0.62,0.32,0.22,0.86
25000,10,0.492,0.56,0.5,0.52,0.2,0.68
20000,10,0.44399999999999995,0.44,0.58,0.4,0.24,0.56
5000,20,0.612,0.64,0.62,0.46,0.48,0.86
30000,20,0.584,0.58,0.72,0.52,0.34,0.76
15000,20,0.524,0.48,0.6,0.58,0.18,0.78
25000,20,0.5439999999999999,0.6,0.52,0.5,0.36,0.74
10000,20,0.6040000000000001,0.54,0.68,0.54,0.56,0.7
20000,20,0.472,0.5,0.64,0.38,0.26,0.58
5000,50,0.6199999999999999,0.58,0.78,0.54,0.44,0.76
20000,50,0.5720000000000001,0.56,0.7,0.52,0.44,0.64
30000,50,0.5520000000000002,0.52,0.64,0.58,0.28,0.74
15000,50,0.6,0.54,0.7,0.48,0.48,0.8
10000,50,0.664,0.74,0.68,0.62,0.56,0.72
25000,50,0.5640000000000001,0.56,0.58,0.62,0.4,0.66
5000,100,0.5519999999999999,0.48,0.6,0.48,0.42,0.78
20000,100,0.604,0.62,0.7,0.6,0.46,0.64
10000,100,0.608,0.62,0.62,0.66,0.42,0.72
15000,100,0.5959999999999999,0.58,0.68,0.6,0.36,0.76
25000,100,0.5800000000000001,0.68,0.44,0.66,0.42,0.7
30000,100,0.6199999999999999,0.5,0.76,0.6,0.46,0.78
10000,200,0.592,0.5,0.72,0.62,0.34,0.78
20000,200,0.548,0.48,0.66,0.62,0.32,0.66
25000,200,0.596,0.76,0.62,0.52,0.42,0.66
5000,200,0.5640000000000001,0.62,0.58,0.54,0.36,0.72
15000,200,0.5720000000000001,0.46,0.6,0.54,0.52,0.74
30000,200,0.544,0.56,0.7,0.4,0.28,0.78
