step,TTT_steps,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
300000,0,0.08800000000000001,0.1,0.04,0.16,0.0,0.14
350000,0,0.06,0.02,0.04,0.12,0.04,0.08
400000,0,0.076,0.02,0.08,0.16,0.02,0.1
450000,0,0.076,0.06,0.02,0.14,0.02,0.14
500000,0,0.048,0.04,0.02,0.06,0.04,0.08
500000,10,0.132,0.1,0.2,0.2,0.0,0.16
300000,10,0.132,0.18,0.12,0.16,0.06,0.14
350000,10,0.13999999999999999,0.1,0.14,0.16,0.12,0.18
450000,10,0.132,0.12,0.2,0.16,0.04,0.14
400000,10,0.12000000000000002,0.06,0.06,0.14,0.08,0.26
500000,20,0.172,0.12,0.14,0.26,0.1,0.24
450000,20,0.132,0.14,0.2,0.1,0.08,0.14
350000,20,0.152,0.08,0.28,0.18,0.0,0.22
300000,20,0.14,0.04,0.2,0.22,0.08,0.16
400000,50,0.13599999999999998,0.16,0.08,0.12,0.08,0.24
300000,50,0.152,0.12,0.22,0.1,0.06,0.26
500000,50,0.12000000000000002,0.04,0.24,0.1,0.02,0.2
350000,50,0.196,0.22,0.24,0.12,0.14,0.26
450000,50,0.12400000000000003,0.16,0.12,0.16,0.02,0.16
350000,100,0.172,0.08,0.2,0.26,0.08,0.24
400000,100,0.18,0.18,0.24,0.16,0.06,0.26
450000,100,0.176,0.14,0.22,0.12,0.1,0.3
500000,100,0.184,0.16,0.24,0.26,0.06,0.2
300000,100,0.128,0.16,0.08,0.16,0.1,0.14
350000,200,0.168,0.16,0.16,0.24,0.08,0.2
500000,200,0.124,0.12,0.1,0.14,0.08,0.18
400000,200,0.16,0.12,0.24,0.16,0.08,0.2
450000,200,0.156,0.18,0.18,0.08,0.08,0.26
300000,200,0.14,0.14,0.2,0.12,0.1,0.14
